canonical_ligand_id,inchikey,mapping_status,component_ids,component_names,smiles_values,component_types,pdb_ids,notes
ligand:185,,component_fallback,185,"(6-[4-(AMINOMETHYL)-2,6-DIMETHYLPHENOXY]-2-{[4-(AMINOMETHYL)PHENYL]AMINO}-5-BROMOPYRIMIDIN-4-YL)METHANOL",,small_molecule,1SUQ,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:187,,component_fallback,187,1-{3-[AMINO(IMINO)METHYL]PHENYL}-N-[4-(1H-BENZIMIDAZOL-1-YL)-2-FLUOROPHENYL]-3-(TRIFLUOROMETHYL)-1H-PYRAZOLE-5-CARBOXAMIDE,,small_molecule,1X7A,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:196,,component_fallback,196,3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE,,small_molecule,1YYE,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:199,,component_fallback,199,"N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE",,small_molecule,1ZYS,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:1A02:unknown,,scoped_name_fallback,,,,nucleic_acid,1A02,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A07:unknown,,scoped_name_fallback,,,,peptide,1A07,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A08:unknown,,scoped_name_fallback,,,,peptide,1A08,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A09:unknown,,scoped_name_fallback,,,,peptide,1A09,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1A:unknown,,scoped_name_fallback,,,,peptide,1A1A,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1B:unknown,,scoped_name_fallback,,,,peptide,1A1B,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1C:unknown,,scoped_name_fallback,,,,peptide,1A1C,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1E:unknown,,scoped_name_fallback,,,,peptide,1A1E,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1M:unknown,,scoped_name_fallback,,,,peptide,1A1M,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1N:unknown,,scoped_name_fallback,,,,peptide,1A1N,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1O:unknown,,scoped_name_fallback,,,,peptide,1A1O,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A1R:NS4A PROTEIN,,scoped_name_fallback,,NS4A PROTEIN,,peptide,1A1R,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A2C:unknown,,scoped_name_fallback,,,,peptide,1A2C,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A30:unknown,,scoped_name_fallback,,,,peptide,1A30,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A3B:unknown,,scoped_name_fallback,,,,peptide,1A3B,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A3E:unknown,,scoped_name_fallback,,,,peptide,1A3E,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A3I:unknown,,scoped_name_fallback,,,,peptide,1A3I,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A3J:unknown,,scoped_name_fallback,,,,peptide,1A3J,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A3R:unknown,,scoped_name_fallback,,,,peptide,1A3R,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A46:unknown,,scoped_name_fallback,,,,peptide,1A46,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A4W:unknown,,scoped_name_fallback,,,,peptide,1A4W,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A5G:unknown,,scoped_name_fallback,,,,peptide,1A5G,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A5H:unknown,,scoped_name_fallback,,,,peptide,1A5H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A61:unknown,,scoped_name_fallback,,,,peptide,1A61,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A6A:unknown,,scoped_name_fallback,,,,peptide,1A6A,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A7C:unknown,,scoped_name_fallback,,,,peptide,1A7C,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A81:unknown,,scoped_name_fallback,,,,peptide,1A81,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A9E:unknown,,scoped_name_fallback,,,,peptide,1A9E,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A9N:unknown,,scoped_name_fallback,,,,nucleic_acid,1A9N,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AB9:unknown,,scoped_name_fallback,,,,peptide,1AB9,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ABI:unknown,,scoped_name_fallback,,,,peptide,1ABI,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ABO:unknown,,scoped_name_fallback,,,,peptide,1ABO,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ACY:unknown,,scoped_name_fallback,,,,peptide,1ACY,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AD8:unknown,,scoped_name_fallback,,,,peptide,1AD8,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AE8:unknown,,scoped_name_fallback,,,,peptide,1AE8,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AFE:unknown,,scoped_name_fallback,,,,peptide,1AFE,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AFQ:unknown,,scoped_name_fallback,,,,peptide,1AFQ,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AGB:unknown,,scoped_name_fallback,,,,peptide,1AGB,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AGC:unknown,,scoped_name_fallback,,,,peptide,1AGC,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AGD:unknown,,scoped_name_fallback,,,,peptide,1AGD,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AGE:unknown,,scoped_name_fallback,,,,peptide,1AGE,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AGF:unknown,,scoped_name_fallback,,,,peptide,1AGF,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AHT:unknown,,scoped_name_fallback,,,,peptide,1AHT,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AI1:unknown,,scoped_name_fallback,,,,peptide,1AI1,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AI8:unknown,,scoped_name_fallback,,,,peptide,1AI8,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AIK:unknown,,scoped_name_fallback,,,,glycan,1AIK,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AIS:unknown,,scoped_name_fallback,,,,nucleic_acid,1AIS,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AIX:unknown,,scoped_name_fallback,,,,peptide,1AIX,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AKH:unknown,,scoped_name_fallback,,,,nucleic_acid,1AKH,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AKJ:unknown,,scoped_name_fallback,,,,peptide; glycan,1AKJ,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AL2:unknown,,scoped_name_fallback,,,,peptide,1AL2,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ALX:unknown,,scoped_name_fallback,,,,peptide,1ALX,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ALZ:unknown,,scoped_name_fallback,,,,peptide,1ALZ,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AO7:unknown,,scoped_name_fallback,,,,peptide,1AO7,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AOI:unknown,,scoped_name_fallback,,,,nucleic_acid,1AOI,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1APH:unknown,,scoped_name_fallback,,,,peptide,1APH,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1APM:unknown,,scoped_name_fallback,,,,peptide,1APM,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1APT:unknown,,scoped_name_fallback,,,,peptide,1APT,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1APU:unknown,,scoped_name_fallback,,,,peptide,1APU,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1APV:unknown,,scoped_name_fallback,,,,peptide,1APV,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1APW:unknown,,scoped_name_fallback,,,,peptide,1APW,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AQ7:unknown,,scoped_name_fallback,,,,peptide,1AQ7,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AQC:unknown,,scoped_name_fallback,,,,peptide,1AQC,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AQD:unknown,,scoped_name_fallback,,,,peptide,1AQD,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AR6:unknown,,scoped_name_fallback,,,,peptide,1AR6,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AR7:unknown,,scoped_name_fallback,,,,peptide,1AR7,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AR8:unknown,,scoped_name_fallback,,,,peptide,1AR8,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AR9:unknown,,scoped_name_fallback,,,,peptide,1AR9,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ASJ:unknown,,scoped_name_fallback,,,,peptide,1ASJ,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ATI:unknown,,scoped_name_fallback,,,,peptide,1ATI,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1ATP:unknown,,scoped_name_fallback,,,,peptide,1ATP,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AVF:unknown,,scoped_name_fallback,,,,peptide,1AVF,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AVP:ADENOVIRAL PROTEINASE,,scoped_name_fallback,,ADENOVIRAL PROTEINASE,,peptide,1AVP,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AW8:unknown,,scoped_name_fallback,,,,peptide,1AW8,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWC:unknown,,scoped_name_fallback,,,,nucleic_acid,1AWC,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWF:unknown,,scoped_name_fallback,,,,peptide,1AWF,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWI:unknown,,scoped_name_fallback,,,,peptide,1AWI,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWQ:unknown,,scoped_name_fallback,,,,peptide,1AWQ,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWR:unknown,,scoped_name_fallback,,,,peptide,1AWR,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWS:unknown,,scoped_name_fallback,,,,peptide,1AWS,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWT:unknown,,scoped_name_fallback,,,,peptide,1AWT,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWU:unknown,,scoped_name_fallback,,,,peptide,1AWU,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AWV:unknown,,scoped_name_fallback,,,,peptide,1AWV,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AXC:unknown,,scoped_name_fallback,,,,peptide,1AXC,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AXD:unknown,,scoped_name_fallback,,,,peptide,1AXD,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AY6:unknown,,scoped_name_fallback,,,,peptide,1AY6,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AYA:unknown,,scoped_name_fallback,,,,peptide,1AYA,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AYB:unknown,,scoped_name_fallback,,,,peptide,1AYB,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1AYC:unknown,,scoped_name_fallback,,,,peptide,1AYC,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B05:unknown,,scoped_name_fallback,,,,peptide,1B05,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B07:unknown,,scoped_name_fallback,,,,peptide,1B07,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B0G:unknown,,scoped_name_fallback,,,,peptide,1B0G,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B0H:unknown,,scoped_name_fallback,,,,peptide,1B0H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B0R:unknown,,scoped_name_fallback,,,,peptide,1B0R,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B17:unknown,,scoped_name_fallback,,,,peptide,1B17,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B18:unknown,,scoped_name_fallback,,,,peptide,1B18,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B19:unknown,,scoped_name_fallback,,,,peptide,1B19,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B1H:unknown,,scoped_name_fallback,,,,peptide,1B1H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2A:unknown,,scoped_name_fallback,,,,peptide,1B2A,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2B:unknown,,scoped_name_fallback,,,,peptide,1B2B,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2C:unknown,,scoped_name_fallback,,,,peptide,1B2C,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2D:unknown,,scoped_name_fallback,,,,peptide,1B2D,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2E:unknown,,scoped_name_fallback,,,,peptide,1B2E,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2F:unknown,,scoped_name_fallback,,,,peptide,1B2F,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2G:unknown,,scoped_name_fallback,,,,peptide,1B2G,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B2H:unknown,,scoped_name_fallback,,,,peptide,1B2H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B32:unknown,,scoped_name_fallback,,,,peptide,1B32,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B3F:unknown,,scoped_name_fallback,,,,peptide,1B3F,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B3G:unknown,,scoped_name_fallback,,,,peptide,1B3G,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B3H:unknown,,scoped_name_fallback,,,,peptide,1B3H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B3L:unknown,,scoped_name_fallback,,,,peptide,1B3L,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B40:unknown,,scoped_name_fallback,,,,peptide,1B40,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B46:unknown,,scoped_name_fallback,,,,peptide,1B46,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B4H:unknown,,scoped_name_fallback,,,,peptide,1B4H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B4Z:unknown,,scoped_name_fallback,,,,peptide,1B4Z,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B51:unknown,,scoped_name_fallback,,,,peptide,1B51,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B52:unknown,,scoped_name_fallback,,,,peptide,1B52,Scoped ligand fallback because neither InChIKey nor component ID was available.
